Species,EU,Patch,Corner,Distance,Live/dead,Reproductive status,# Reproductive structures,Transplant notes,# recruits in plot,# recruits out of plot,Recruit notes
AV,8,E,I,c,1,1,10-100,,0,0,
CB,8,E,I,c,1,1,10-100,,0,0,
GD,8,E,I,c,0,0,.,,0,0,
LE,8,E,I,c,0,0,.,,0,0,
NG,8,E,I,c,1,0,.,,0,0,
SS,8,E,I,c,0,0,.,,0,0,
AB,8,E,I,d,0,0,.,,0,0,
AV,8,E,I,d,0,0,.,,0,0,
CB,8,E,I,d,1,1,>100,,0,0,
GD,8,E,I,d,1,0,.,,0,0,
LE,8,E,I,d,0,0,.,,0,0,
NG,8,E,I,d,0,0,.,,0,0,
SS,8,E,I,d,1,1,10-100,,0,0,
AB,8,E,II,a,1,0,.,,0,0,
AV,8,E,II,a,1,1,<10,,0,0,
CB,8,E,II,a,0,0,.,,0,0,
GD,8,E,II,a,0,0,.,,0,0,
LE,8,E,II,a,0,0,.,,0,0,
NG,8,E,II,a,1,0,.,,0,0,
SS,8,E,II,a,0,0,.,,0,0,
AB,8,E,II,b,1,1,10-100,,0,0,
AV,8,E,II,b,.,.,.,,0,0,
CB,8,E,II,b,0,0,.,,0,0,
GD,8,E,II,b,0,0,.,,0,0,
LE,8,E,II,b,.,.,.,,.,.,
NG,8,E,II,b,1,0,.,,0,0,
SS,8,E,II,b,1,1,<10,,0,0,
AB,8,E,II,c,0,0,.,,0,0,
AV,8,E,II,c,1,1,<10,,0,0,
CB,8,E,II,c,0,0,.,,0,0,
GD,8,E,II,c,1,0,.,,0,0,
LE,8,E,II,c,0,0,.,,0,0,
NG,8,E,II,c,1,0,.,,0,0,
SS,8,E,II,c,0,0,.,,0,0,
AB,8,E,II,d,1,1,~300,,0,0,
AV,8,E,II,d,1,1,10-100,,0,0,
CB,8,E,II,d,0,0,.,,0,0,
GD,8,E,II,d,0,0,.,,0,0,
LE,8,E,II,d,0,0,.,,0,0,
NG,8,E,II,d,1,1,.,likely a male,0,0,
SS,8,E,II,d,0,0,.,,0,0,
AB,8,E,III,a,1,0,.,,0,0,
AV,8,E,III,a,0,0,.,,0,0,
CB,8,E,III,a,1,1,12,,0,0,
GD,8,E,III,a,1,0,.,,0,0,
LE,8,E,III,a,1,0,.,,0,0,
NG,8,E,III,a,1,0,.,,0,0,
SS,8,E,III,a,1,0,.,,0,0,
AB,8,E,III,b,0,0,.,,0,0,
AV,8,E,III,b,1,1,4,,0,0,
CB,8,E,III,b,1,1,25,,0,0,
GD,8,E,III,b,1,0,.,,0,0,
LE,8,E,III,b,0,0,.,,0,0,
NG,8,E,III,b,1,0,.,,0,0,
SS,8,E,III,b,0,0,.,,0,0,
AB,8,E,III,c,1,1,82,,0,0,
AV,8,E,III,c,1,1,46,,0,0,
CB,8,E,III,c,0,0,.,,0,0,
GD,8,E,III,c,0,0,.,,0,0,
LE,8,E,III,c,0,0,.,,0,0,
NG,8,E,III,c,0,0,.,,0,0,
SS,8,E,III,c,0,0,.,,0,0,
AB,8,E,III,d,1,1,~500,,0,0,
AV,8,E,III,d,1,1,28,,0,0,
CB,8,E,III,d,1,1,>100,,0,0,
GD,8,E,III,d,1,0,.,,0,0,
LE,8,E,III,d,0,0,.,,0,0,
NG,8,E,III,d,1,1,0,,0,0,
SS,8,E,III,d,1,1,34,,0,0,
AB,8,E,IV,a,1,0,.,,0,0,
AV,8,E,IV,a,1,0,.,,0,0,
CB,8,E,IV,a,1,0,.,,0,0,
GD,8,E,IV,a,1,0,.,,0,0,
LE,8,E,IV,a,1,0,.,,0,0,
NG,8,E,IV,a,1,0,.,,0,0,
SS,8,E,IV,a,1,0,.,,0,0,
AB,8,E,IV,b,0,0,.,,0,0,
AV,8,E,IV,b,1,1,10-100,,0,0,
CB,8,E,IV,b,1,1,~100,,0,0,
GD,8,E,IV,b,1,0,.,,0,0,
LE,8,E,IV,b,0,0,.,,0,0,
NG,8,E,IV,b,1,1,.,,0,0,
SS,8,E,IV,b,1,1,10-100,,0,0,
AB,8,E,IV,c,1,0,.,,0,0,
AV,8,E,IV,c,1,1,<10,,0,0,
CB,8,E,IV,c,1,1,10-100,,0,0,
GD,8,E,IV,c,0,0,.,,0,0,
LE,8,E,IV,c,1,0,.,,0,0,
NG,8,E,IV,c,1,0,.,,0,0,
SS,8,E,IV,c,1,1,<10,,0,0,
AB,8,E,IV,d,1,1,~300,,0,0,
AV,8,E,IV,d,1,1,10-100,,0,0,
CB,8,E,IV,d,1,1,10-100,,0,0,
GD,8,E,IV,d,0,0,.,,0,0,
LE,8,E,IV,d,1,1,<10,,0,0,
NG,8,E,IV,d,1,1,.,,0,0,
SS,8,E,IV,d,1,0,.,,0,0,
AB,10,A,I,a,1,0,.,,0,0,
AV,10,A,I,a,1,1,"""1-10""",,0,0,
CB,10,A,I,a,1,1,11-100,,0,0,
GD,10,A,I,a,1,0,.,,0,0,
LE,10,A,I,a,.,.,.,,.,.,
NG,10,A,I,a,.,.,.,,.,.,
SS,10,A,I,a,1,0,.,,0,0,
